id,organization,document_type,category,clientele,knowledge_type,language,filepath
6,Conseil des arts de Montréal (CAM),Mémoire,Organismes municipaux et paramunicipaux,Artistes,Municipal,fr,data\data\8.6-Conseil des arts de Montréal\8.6_cam-memoire_racisme_discrimination.pdf
13,Forum jeunesse de l'île de Montréal,Mémoire,Organismes municipaux et paramunicipaux,Jeunes,Municipal,fr,data\data\8.13-Forum jeunesse de l'île de Montréal\8.13_fjim.pdf
18,Table de quartier de Parc-Extension,Mémoire,Organismes municipaux et paramunicipaux,Citoyens,Municipal,fr,data\data\8.18-Table de quartier de Parc-Extension\8.18_tablequartier_parcextension.pdf
20,Alain Babineau,Mémoire,Chercheurs et experts,Services policiers,Municipal,en,data\data\8.20-Alain Babineau\8.20_alain_babineau.pdf
51,Femmes et villes international,Mémoire,Organismes municipaux et paramunicipaux,Femmes,Municipal,fr,data\data\8.52-Femmes et villes international\8.52_femmes_et_villes_international.pdf
77,Commission des droits de la personne et des droits de la jeunesse,Mémoire,Organismes municipaux et paramunicipaux,Citoyens,Municipal,fr,data\data\8.75-Commission des droits de la personne et des droits de la jeunesse\8.75_commission_droits_personne_et_jeunesse.pdf
102,"Table sur la diversité, l'inclusion et la lutte contre les discriminations",Mémoire,Chercheurs et experts,Personnes racisées,Municipal,fr,"data\data\8.100-Table sur la diversité, l'inclusion et la lutte contre les discriminations\8.100_tdild.pdf"
